id,code,name,note,account_type,reconcile,chart_template_id:id
account_template_11305000013,1.1.3.05.000013,FEDERAL EXPRESS CORPORATION,,asset_current,1,l10n_br_coa_saveincloud_chart_template
account_template_11305000014,1.1.3.05.000014,ASCENTY DATA CENTERS TELECOM. S/A,,asset_current,1,l10n_br_coa_saveincloud_chart_template
account_template_11305000015,1.1.3.05.000015,PONTOCOM & MINIMAL IND. E COM. DE MOVEIS LTDA.,,asset_current,1,l10n_br_coa_saveincloud_chart_template
account_template_11306000001,1.1.3.06.000001,ADIANTAMENTO DE SALÁRIO,,asset_current,1,l10n_br_coa_saveincloud_chart_template
account_template_11306000002,1.1.3.06.000002,ADIANTAMENTO DE 13º SALÁRIO,,asset_current,1,l10n_br_coa_saveincloud_chart_template
account_template_11306000003,1.1.3.06.000003,ADIANTAMENTO DE FÉRIAS,,asset_current,1,l10n_br_coa_saveincloud_chart_template
account_template_11306000004,1.1.3.06.000004,ADIANTAMENTO DE RESCISÃO,,asset_current,1,l10n_br_coa_saveincloud_chart_template
account_template_11307000001,1.1.3.07.000001,EMPRÉSTIMO A EMPREGADOS,,asset_current,1,l10n_br_coa_saveincloud_chart_template
account_template_11308000001,1.1.3.08.000001,IPI A RECUPERAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000002,1.1.3.08.000002,ICMS A RECUPERAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000003,1.1.3.08.000003,IRRF A RECUPERAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000004,1.1.3.08.000004,IMPOSTO DE RENDA PAGO POR ESTIMATIVA,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000005,1.1.3.08.000005,CONTRIBUIÇÃO SOCIAL PAGA ESTIMATIVA,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000006,1.1.3.08.000006,TRIBUTOS PAGOS A MAIOR OU INDEVIDAMENTE,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000007,1.1.3.08.000007,CONTRIBUIÇÃO SOCIAL RETIDO A COMPENSAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000008,1.1.3.08.000008,COFINS RETIDO A COMPENSAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
account_template_11308000009,1.1.3.08.000009,PIS RETIDO A COMPENSAR,,asset_current,0,l10n_br_coa_saveincloud_chart_template
